id	name	category1	category2	category3	category4
51	Adapter za hirurški instrument, neurohirurgija	10 - Medicinska sredstva za jednokratnu upotrebu	09 - Instrumenti za višekratnu upotrebu		
52	Adapter za hirurški instrument, ortopedija	10 - Medicinska sredstva za jednokratnu upotrebu	09 - Instrumenti za višekratnu upotrebu		
53	Adapter za hirurški instrument, stomatologija	03 - Dentalna medicinska sredstva	10 - Medicinska sredstva za jednokratnu upotrebu	09 - Instrumenti za višekratnu upotrebu	
54	Adapter za hirurški instrument, traumatologija	10 - Medicinska sredstva za jednokratnu upotrebu	09 - Instrumenti za višekratnu upotrebu		
55	Adapter za hirurški instrument, urologija	10 - Medicinska sredstva za jednokratnu upotrebu	09 - Instrumenti za višekratnu upotrebu		
56	Adapter za hirurški motor, neurohirurgija	09 - Instrumenti za višekratnu upotrebu			
57	Adapter za hirurški motor, ortopedija	04 - Elektro-mehanička medicinska sredstva	09 - Instrumenti za višekratnu upotrebu	10 - Medicinska sredstva za jednokratnu upotrebu	
58	Adapter za implant, hirurški instrument, ortopedija	10 - Medicinska sredstva za jednokratnu upotrebu	09 - Instrumenti za višekratnu upotrebu		
59	Adapter za infuzionu liniju	10 - Medicinska sredstva za jednokratnu upotrebu			
60	Adapter za infuzionu pumpu	05 - Bolnička, aparaturna oprema			
61	Adapter za instrumente sa lumenom, za plazma sterilizaciju	05 - Bolnička, aparaturna oprema			
62	Adapter za injekcioni sistem bez igle	09 - Instrumenti za višekratnu upotrebu			
63	Adapter za izvor svetla za endoskopiju	04 - Elektro-mehanička medicinska sredstva			
64	Adapter za kabl za medicinski aparat	09 - Instrumenti za višekratnu upotrebu			
65	Adapter za kabl za povezivanje elektrohirurškog instrumenta i generatora	09 - Instrumenti za višekratnu upotrebu	10 - Medicinska sredstva za jednokratnu upotrebu		
66	Adapter za kanilu sistema za eksternu stimulaciju rada srca	10 - Medicinska sredstva za jednokratnu upotrebu			
67	Adapter za kanilu za neinvazivnu ventilaciju	10 - Medicinska sredstva za jednokratnu upotrebu	09 - Instrumenti za višekratnu upotrebu		
68	Adapter za kardioplegiju	10 - Medicinska sredstva za jednokratnu upotrebu			
69	Adapter za ključ, hirurški instrument, stomatologija	03 - Dentalna medicinska sredstva	10 - Medicinska sredstva za jednokratnu upotrebu	09 - Instrumenti za višekratnu upotrebu	
70	Adapter za koleno, protetska komponenta	11 - Tehnička sredstva za hendikepirana lica			
71	Adapter za kontrolor sistema za stimulaciju rada srca	01 - Aktivna implantabilna medicinska sredstva			
72	Adapter za konverter, hirurški instrument, traumatologija	10 - Medicinska sredstva za jednokratnu upotrebu	09 - Instrumenti za višekratnu upotrebu		
73	Adapter za laminaciju, protetska komponenta	11 - Tehnička sredstva za hendikepirana lica			
74	Adapter za ležište potkolenice, protetska komponenta	11 - Tehnička sredstva za hendikepirana lica			
75	Adapter za ležište, protetska komponenta	11 - Tehnička sredstva za hendikepirana lica			
76	Adapter za ležište, protetska komponenta, set	11 - Tehnička sredstva za hendikepirana lica			
77	Adapter za medicinski monitor	04 - Elektro-mehanička medicinska sredstva	09 - Instrumenti za višekratnu upotrebu	05 - Bolnička, aparaturna oprema	
78	Adapter za medicinski ventilator, za jednokratnu upotrebu	02 - Anestezijska i respiratorna medicinska sredstva	10 - Medicinska sredstva za jednokratnu upotrebu		
79	Adapter za medicinski ventilator, za višekratnu upotrebu	02 - Anestezijska i respiratorna medicinska sredstva	09 - Instrumenti za višekratnu upotrebu	05 - Bolnička, aparaturna oprema	
80	Adapter za mikroskop za sistem za navigaciju, set	09 - Instrumenti za višekratnu upotrebu			
81	Adapter za monitor sistema za stimulaciju rada srca	01 - Aktivna implantabilna medicinska sredstva			
82	Adapter za operacioni teleskop	09 - Instrumenti za višekratnu upotrebu	10 - Medicinska sredstva za jednokratnu upotrebu		
83	Adapter za optički kabl, endoskopija	09 - Instrumenti za višekratnu upotrebu	10 - Medicinska sredstva za jednokratnu upotrebu	05 - Bolnička, aparaturna oprema	
84	Adapter za optički kabl, ginekologija	09 - Instrumenti za višekratnu upotrebu	10 - Medicinska sredstva za jednokratnu upotrebu		
85	Adapter za optički kabl, ginekologija i urologija	09 - Instrumenti za višekratnu upotrebu	10 - Medicinska sredstva za jednokratnu upotrebu		
86	Adapter za optički kabl, laparoskopija	09 - Instrumenti za višekratnu upotrebu	10 - Medicinska sredstva za jednokratnu upotrebu		
87	Adapter za optički kabl, ortopedija	09 - Instrumenti za višekratnu upotrebu	10 - Medicinska sredstva za jednokratnu upotrebu		
88	Adapter za optički kabl, ortopedija sa traumatologijom	09 - Instrumenti za višekratnu upotrebu	10 - Medicinska sredstva za jednokratnu upotrebu		
89	Adapter za optički kabl, traumatologija	09 - Instrumenti za višekratnu upotrebu	10 - Medicinska sredstva za jednokratnu upotrebu		
90	Adapter za optički kabl, urologija	09 - Instrumenti za višekratnu upotrebu	10 - Medicinska sredstva za jednokratnu upotrebu		
91	Adapter za pejsing elektrodu	01 - Aktivna implantabilna medicinska sredstva			
92	Adapter za pozicioniranje ležišta, protetska komponenta	11 - Tehnička sredstva za hendikepirana lica			
93	Adapter za probu implanta, hirurški instrument, ortopedija	10 - Medicinska sredstva za jednokratnu upotrebu	09 - Instrumenti za višekratnu upotrebu		
94	Adapter za procesor zvuka implanta srednjeg uha	10 - Medicinska sredstva za jednokratnu upotrebu	09 - Instrumenti za višekratnu upotrebu		
95	Adapter za pružanje hemostaze tokom opštih intravaskularnih procedura	10 - Medicinska sredstva za jednokratnu upotrebu	09 - Instrumenti za višekratnu upotrebu		
96	Adapter za punjač baterije sistema za stimulaciju rada srca	01 - Aktivna implantabilna medicinska sredstva			
664	Bukalna tuba, ortodontska	03 - Dentalna medicinska sredstva			
98	Adapter za sistem za evakuaciju gasova, elektrohirurgija	10 - Medicinska sredstva za jednokratnu upotrebu			
99	Adapter za slit lampu	10 - Medicinska sredstva za jednokratnu upotrebu			
100	Adapter za sondu za litotripsiju	09 - Instrumenti za višekratnu upotrebu			
101	Adapter za stopalo, protetska komponenta	11 - Tehnička sredstva za hendikepirana lica			
102	Adapter za suprastrukturu dentalnog implanta	03 - Dentalna medicinska sredstva	10 - Medicinska sredstva za jednokratnu upotrebu		
103	Adapter za špric, za citološku aspiraciju	09 - Instrumenti za višekratnu upotrebu			
104	Adapter za špriceve	08 - Oftalmološka i optička medicinska sredstva			
105	Adapter za teleskop, endoskopija	09 - Instrumenti za višekratnu upotrebu			
106	Adapter za temperaturnu sondu inhalacionog sistema	10 - Medicinska sredstva za jednokratnu upotrebu			
107	Adapter za turbinu	03 - Dentalna medicinska sredstva			
108	Adapter za uređaj za ispiranje hirurških instrumenata	09 - Instrumenti za višekratnu upotrebu			
109	Adapter za uzorkovanje krvi	10 - Medicinska sredstva za jednokratnu upotrebu			
110	Adapter za uzorkovanje krvi iz katetera	10 - Medicinska sredstva za jednokratnu upotrebu			
111	Adapter za zavrtanj, hirurški instrument, ortopedija	10 - Medicinska sredstva za jednokratnu upotrebu	09 - Instrumenti za višekratnu upotrebu		
112	Adapter zatvorenog infuzionog sistema za pripremu, transfer i primenu leka	10 - Medicinska sredstva za jednokratnu upotrebu			
113	Adapter, amortizacioni, protetska komponenta	11 - Tehnička sredstva za hendikepirana lica			
114	Adapter, bezigleni, za intravensku infuziju	10 - Medicinska sredstva za jednokratnu upotrebu			
115	Adapter, dupli, protetska komponenta	11 - Tehnička sredstva za hendikepirana lica			
116	Adapter, hirurški instrument, laparoskopija 	10 - Medicinska sredstva za jednokratnu upotrebu	09 - Instrumenti za višekratnu upotrebu		
117	Adapter, hirurški instrument, neuroendoskopija 	10 - Medicinska sredstva za jednokratnu upotrebu	09 - Instrumenti za višekratnu upotrebu		
118	Adapter, hirurški instrument, neurohirurgija	10 - Medicinska sredstva za jednokratnu upotrebu	09 - Instrumenti za višekratnu upotrebu		
119	Adapter, hirurški instrument, ortopedija	10 - Medicinska sredstva za jednokratnu upotrebu	09 - Instrumenti za višekratnu upotrebu		
120	Adapter, klizajući, protetska komponenta	11 - Tehnička sredstva za hendikepirana lica			
121	Adapter, pribor za postavljanje pejsing elektrode, set	01 - Aktivna implantabilna medicinska sredstva			
122	Adapter, protetska komponenta	11 - Tehnička sredstva za hendikepirana lica			
123	Adapter, torzioni, protetska komponenta	11 - Tehnička sredstva za hendikepirana lica			
124	Adapter, vantelesni, za elektrofiziološki kateter	04 - Elektro-mehanička medicinska sredstva	09 - Instrumenti za višekratnu upotrebu	10 - Medicinska sredstva za jednokratnu upotrebu	
125	Adheziv spoljnih delova za traheostomu	10 - Medicinska sredstva za jednokratnu upotrebu			
126	Adheziv za fiksiranje nazogastrične sonde	10 - Medicinska sredstva za jednokratnu upotrebu			
127	Adheziv za izradu protetskih nadoknada	03 - Dentalna medicinska sredstva			
128	Adheziv za postavljanje hirurške mrežice, set	10 - Medicinska sredstva za jednokratnu upotrebu			
129	Adheziv za rane, sa aplikatorom	10 - Medicinska sredstva za jednokratnu upotrebu			
130	Adheziv za urinarni kondom, samolepljiva traka	10 - Medicinska sredstva za jednokratnu upotrebu			
131	Adheziv za urinarni kondom, u tubi	10 - Medicinska sredstva za jednokratnu upotrebu			
132	Adheziv, ortodontski, hemijski i svetlosno-polimerizujći	03 - Dentalna medicinska sredstva			
133	Adheziv, ortodontski, hemijski polimerizujući	03 - Dentalna medicinska sredstva			
134	Adheziv, ortodontski, hemijski polimerizujući, set	03 - Dentalna medicinska sredstva			
135	Adheziv, ortodontski, svetlosno-polimerizujući	03 - Dentalna medicinska sredstva			
136	Adheziv, ortodontski, svetlosno-polimerizujući, set	03 - Dentalna medicinska sredstva			
137	Adhezivna krema za zubne proteze	03 - Dentalna medicinska sredstva			
138	Adhezivna pasta za zubne proteze	03 - Dentalna medicinska sredstva			
139	Adhezivna tkanina za zubne proteze	03 - Dentalna medicinska sredstva			
140	Adhezivna traka, terapeutska	10 - Medicinska sredstva za jednokratnu upotrebu			
141	Aditiv za bržu polimerizaciju punjenja kanala korena zuba	03 - Dentalna medicinska sredstva			
142	Aditiv za produženo vreme mešanja alginatnog otisnog materijala	03 - Dentalna medicinska sredstva			
143	Akcelerator, linearni, digitalni	12 - Dijagnostička i terapeutska medicinska sredstva u radiologiji			
144	Akcelerator, linearni, digitalni, visokoenergetski	12 - Dijagnostička i terapeutska medicinska sredstva u radiologiji			
145	Akrilatni zubi	03 - Dentalna medicinska sredstva			
146	Akrilatni zubi, četvoroslojni	03 - Dentalna medicinska sredstva			
147	Akrilatni zubi, dvoslojni	03 - Dentalna medicinska sredstva			
148	Akrilatni zubi, troslojni	03 - Dentalna medicinska sredstva			
149	Aktivator adheziva, ortodontski	03 - Dentalna medicinska sredstva			
150	Aktivator pumpe za sukciju i irigaciju, endoskopija	03 - Dentalna medicinska sredstva			
151	Aktivator za mašinsko pranje endoskopa	10 - Medicinska sredstva za jednokratnu upotrebu			
152	Aktivator za silikonski kondenzacioni otisni materijal	03 - Dentalna medicinska sredstva			
153	Akupresurne trake protiv mučnine i povraćanja	09 - Instrumenti za višekratnu upotrebu	10 - Medicinska sredstva za jednokratnu upotrebu		
154	Akustična cevčica za slušni aparat	11 - Tehnička sredstva za hendikepirana lica			
155	Akustični aparat, ORL	09 - Instrumenti za višekratnu upotrebu			
156	Alginatni otisni materijal	03 - Dentalna medicinska sredstva			
157	Alginatni otisni materijal za ortodonciju	03 - Dentalna medicinska sredstva			
158	Aluminijum-oksid sa cirkonijum-dioksidom za izradu zubnih nadoknada	03 - Dentalna medicinska sredstva			
159	Aluminijum-oksid za izradu zubnih nadoknada	03 - Dentalna medicinska sredstva			
160	Amalgamska legura u kapsulama, Hg-Ag	03 - Dentalna medicinska sredstva			
161	Amnioskop	09 - Instrumenti za višekratnu upotrebu	05 - Bolnička, aparaturna oprema	10 - Medicinska sredstva za jednokratnu upotrebu	
162	Ampula autoinjektora za lek	10 - Medicinska sredstva za jednokratnu upotrebu			
163	Amputaciono sečivo, hirurški instrument, ortopedija sa traumatologijom	10 - Medicinska sredstva za jednokratnu upotrebu	09 - Instrumenti za višekratnu upotrebu		
164	Analizator funkcije znojnih žlezda	05 - Bolnička, aparaturna oprema	04 - Elektro-mehanička medicinska sredstva		
165	Analizator hemodinamskih parametara pacijenta	05 - Bolnička, aparaturna oprema			
166	Analizator hlorida u uzorku znoja	06 - "In vitro" dijagnostička medicinska sredstva			
167	Analizator nukleinskih kiselina	06 - "In vitro" dijagnostička medicinska sredstva			
168	Analizator nukleinskih kiselina i proteina	06 - "In vitro" dijagnostička medicinska sredstva			
169	Analizator nukleinskih kiselina, "Micro-Array"	06 - "In vitro" dijagnostička medicinska sredstva			
170	Analizator nukleinskih kiselina, PCR	06 - "In vitro" dijagnostička medicinska sredstva			
171	Analizator parametara pejsmejkera i defibrilatora tokom implantacije	01 - Aktivna implantabilna medicinska sredstva			
172	Analizator parametara pejsmejkera tokom implantacije	01 - Aktivna implantabilna medicinska sredstva			
173	Analizator prednjeg segmenta oka	08 - Oftalmološka i optička medicinska sredstva			
174	Analizator prednjeg segmenta oka, sistem	08 - Oftalmološka i optička medicinska sredstva			
175	Analizator sedimenta urina	06 - "In vitro" dijagnostička medicinska sredstva			
176	Analizator za biohemiju, brzi testovi	06 - "In vitro" dijagnostička medicinska sredstva			
177	Analizator za citologiju	06 - "In vitro" dijagnostička medicinska sredstva			
178	Analizator za citologiju, brzi testovi	06 - "In vitro" dijagnostička medicinska sredstva			
179	Analizator za hematologiju	06 - "In vitro" dijagnostička medicinska sredstva			
180	Analizator za hematologiju, brojanje ćelija krvi	06 - "In vitro" dijagnostička medicinska sredstva			
181	Analizator za hematologiju, brzi testovi	06 - "In vitro" dijagnostička medicinska sredstva			
182	Analizator za hematologiju, koagulometar	06 - "In vitro" dijagnostička medicinska sredstva			
183	Analizator za hematologiju, krvne grupe	06 - "In vitro" dijagnostička medicinska sredstva			
184	Analizator za hematologiju, određivanje hemoglobina	06 - "In vitro" dijagnostička medicinska sredstva			
185	Analizator za hematologiju, određivanje sedimentacije	06 - "In vitro" dijagnostička medicinska sredstva			
186	Analizator za hematologiju, za bojenje preparata	06 - "In vitro" dijagnostička medicinska sredstva			
187	Analizator za histologiju	06 - "In vitro" dijagnostička medicinska sredstva			
188	Analizator za histologiju, brzi testovi	06 - "In vitro" dijagnostička medicinska sredstva			
189	Analizator za imunohemiju	06 - "In vitro" dijagnostička medicinska sredstva			
190	Analizator za imunohemiju, brzi testovi	06 - "In vitro" dijagnostička medicinska sredstva			
191	Analizator za infektivnu imunologiju	06 - "In vitro" dijagnostička medicinska sredstva			
192	Analizator za kliničku hemiju	06 - "In vitro" dijagnostička medicinska sredstva			
193	Analizator za kliničku hemiju, brzi testovi	06 - "In vitro" dijagnostička medicinska sredstva			
194	Analizator za kliničku hemiju, čitač urin test traka	06 - "In vitro" dijagnostička medicinska sredstva			
195	Analizator za kliničku hemiju, elektroliti	06 - "In vitro" dijagnostička medicinska sredstva			
196	Analizator za kliničku hemiju, gasovi u krvi	06 - "In vitro" dijagnostička medicinska sredstva			
197	Analizator za kliničku hemiju, gasovi u krvi i elektroliti	06 - "In vitro" dijagnostička medicinska sredstva			
198	Analizator za kliničku hemiju, test urina	06 - "In vitro" dijagnostička medicinska sredstva			
199	Analizator za mikrobiologiju	06 - "In vitro" dijagnostička medicinska sredstva			
200	Analizator, biohemijski	06 - "In vitro" dijagnostička medicinska sredstva			
201	Analizator, biohemijski, HPLC	06 - "In vitro" dijagnostička medicinska sredstva			
202	Analizator, biohemijski, MS	06 - "In vitro" dijagnostička medicinska sredstva			
203	Analizator, biohemijski, UPLC	06 - "In vitro" dijagnostička medicinska sredstva			
204	Analog dentalnog implanta	03 - Dentalna medicinska sredstva			
205	Analog suprastrukture dentalnog implanta	03 - Dentalna medicinska sredstva			
206	Angiskop	05 - Bolnička, aparaturna oprema	04 - Elektro-mehanička medicinska sredstva	09 - Instrumenti za višekratnu upotrebu	
207	Anoskop	09 - Instrumenti za višekratnu upotrebu	05 - Bolnička, aparaturna oprema	10 - Medicinska sredstva za jednokratnu upotrebu	
208	Antena programatora aparata za neurostimulaciju	01 - Aktivna implantabilna medicinska sredstva			
209	Antena programatora za pejsmejker i defibrilator	01 - Aktivna implantabilna medicinska sredstva			
210	Antena za endoskopiju video-kapsulom	10 - Medicinska sredstva za jednokratnu upotrebu	09 - Instrumenti za višekratnu upotrebu	05 - Bolnička, aparaturna oprema	
211	Antikoagulantni rastvor	10 - Medicinska sredstva za jednokratnu upotrebu			
212	Antikoagulantni rastvor, za dijalizu	10 - Medicinska sredstva za jednokratnu upotrebu			
213	Antirotacioni klin, hirurški instrument, ortopedija	10 - Medicinska sredstva za jednokratnu upotrebu	09 - Instrumenti za višekratnu upotrebu		
214	Antitorzioni ključ, hirurški instrument, ortopedija	10 - Medicinska sredstva za jednokratnu upotrebu	09 - Instrumenti za višekratnu upotrebu		
215	Aparat sa setom za hirurški tretman hemoroida i rektalnog prolapsa	05 - Bolnička, aparaturna oprema	04 - Elektro-mehanička medicinska sredstva		
216	Aparat ultrazvučni, dijagnostički	12 - Dijagnostička i terapeutska medicinska sredstva u radiologiji	05 - Bolnička, aparaturna oprema		
217	Aparat ultrazvučni, dijagnostički, oftalmološki	08 - Oftalmološka i optička medicinska sredstva	12 - Dijagnostička i terapeutska medicinska sredstva u radiologiji	05 - Bolnička, aparaturna oprema	
1237	Elektroda za EEG-EMG	09 - Instrumenti za višekratnu upotrebu			
218	Aparat ultrazvučni, dijagnostički, oftalmološki, sa slit lampom	08 - Oftalmološka i optička medicinska sredstva	12 - Dijagnostička i terapeutska medicinska sredstva u radiologiji	05 - Bolnička, aparaturna oprema	
219	Aparat ultrazvučni, za čišćenje medicinskih instrumenata	05 - Bolnička, aparaturna oprema	04 - Elektro-mehanička medicinska sredstva		
220	Aparat ultrazvučni, za dentalnu hirurgiju	03 - Dentalna medicinska sredstva			
221	Aparat ultrazvučni, za hirurgiju	04 - Elektro-mehanička medicinska sredstva			
222	Aparat ultrazvučni, za intravaskularnu dijagnostiku	05 - Bolnička, aparaturna oprema	04 - Elektro-mehanička medicinska sredstva		
223	Aparat ultrazvučni, za merenje kretanja donje vilice	05 - Bolnička, aparaturna oprema	04 - Elektro-mehanička medicinska sredstva		
224	Aparat ultrazvučni, za osteodenzitometriju	12 - Dijagnostička i terapeutska medicinska sredstva u radiologiji	05 - Bolnička, aparaturna oprema	04 - Elektro-mehanička medicinska sredstva	
225	Aparat ultrazvučni, za uklanjanje zubnog kamenca	03 - Dentalna medicinska sredstva			
226	Aparat za anesteziju	02 - Anestezijska i respiratorna medicinska sredstva			
227	Aparat za aplikaciju autolognih tkivnih adheziva	05 - Bolnička, aparaturna oprema			
228	Aparat za autotransfuziju	05 - Bolnička, aparaturna oprema			
229	Aparat za bežični prenos podataka sa pejsmejkera	01 - Aktivna implantabilna medicinska sredstva			
230	Aparat za bežični prenos podataka sa pejsmejkera i defibrilatora	01 - Aktivna implantabilna medicinska sredstva			
231	Aparat za biohemiju, centrifuga	06 - "In vitro" dijagnostička medicinska sredstva			
232	Aparat za biohemiju, obrada uzorka	06 - "In vitro" dijagnostička medicinska sredstva			
233	Aparat za biohemiju, priprema reagensa	06 - "In vitro" dijagnostička medicinska sredstva			
234	Aparat za biohemiju, priprema uzorka	06 - "In vitro" dijagnostička medicinska sredstva			
235	Aparat za biometriju oka	08 - Oftalmološka i optička medicinska sredstva			
236	Aparat za biorezonantnu terapiju	04 - Elektro-mehanička medicinska sredstva			
237	Aparat za brahiterapiju	12 - Dijagnostička i terapeutska medicinska sredstva u radiologiji			
238	Aparat za centrifugiranje krvi, za transfuziju	04 - Elektro-mehanička medicinska sredstva			
239	Aparat za citologiju, centrifuga	06 - "In vitro" dijagnostička medicinska sredstva			
240	Aparat za čišćenje i održavanje dentalnih instrumenata 	03 - Dentalna medicinska sredstva			
241	Aparat za dermatoskopiju	05 - Bolnička, aparaturna oprema	04 - Elektro-mehanička medicinska sredstva		
242	Aparat za detekciju tumorskih ćelija u limfnim čvorovima magnetnim poljem	04 - Elektro-mehanička medicinska sredstva			
243	Aparat za detekciju vazduha u sistemu za zagrevanje krvi i intravenskih rastvora	05 - Bolnička, aparaturna oprema			
244	Aparat za detekciju vena	04 - Elektro-mehanička medicinska sredstva			
245	Aparat za dezinfekciju medicinskih sredstava	04 - Elektro-mehanička medicinska sredstva			
246	Aparat za dijagnostiku apnee	02 - Anestezijska i respiratorna medicinska sredstva	05 - Bolnička, aparaturna oprema	04 - Elektro-mehanička medicinska sredstva	
247	Aparat za dobijanje autolognih tkivnih adheziva	05 - Bolnička, aparaturna oprema			
248	Aparat za ekstrahovanje nukleinskih kiselina	06 - "In vitro" dijagnostička medicinska sredstva			
249	Aparat za ekstrakorporalnu litotripsiju i terapiju udarnim talasima	05 - Bolnička, aparaturna oprema	04 - Elektro-mehanička medicinska sredstva		
